locality,account_id,address_clean,OBJECTID,zoning,owner,address,acres,land_value,total_value,year_built,zone_name,zone_category
Franklin County,630020501,NA,28,A1,TOWN OF ROCKY MOUNT,NA,1.624,4900,4900,NA,Agricultural District,Agricultural
Franklin County,60001400,NA,59,A1,COUNTY OF FRANKLIN <THE>,NA,1.83,9200,9200,NA,Agricultural District,Agricultural
Franklin County,60001400,NA,121,A1,COUNTY OF FRANKLIN <THE>,NA,1.83,9200,9200,NA,Agricultural District,Agricultural
Franklin County,520015301,NA,31,A1,FRANKLIN COUNTY BOARD OF SUPERVISORS,NA,2,600000,600000,NA,Agricultural District,Agricultural
Franklin County,440015201,NA,49,A1,COUNTY OF FRANKLIN,NA,2.17,119400,119400,NA,Agricultural District,Agricultural
Franklin County,440015201,NA,99,A1,COUNTY OF FRANKLIN,NA,2.17,119400,119400,NA,Agricultural District,Agricultural
Franklin County,820013810,NA,60,NZ,COUNTY OF FRANKLIN,NA,2.223,66700,66700,NA,Not Zoned,Unzoned
Franklin County,820013810,NA,125,NZ,COUNTY OF FRANKLIN,NA,2.223,66700,66700,NA,Not Zoned,Unzoned
Franklin County,60000800,NA,53,A1,COUNTY OF FRANKLIN <THE>,NA,2.24,11200,11200,NA,Agricultural District,Agricultural
Franklin County,60000800,NA,112,A1,COUNTY OF FRANKLIN <THE>,NA,2.24,11200,11200,NA,Agricultural District,Agricultural
Franklin County,60000900,NA,55,A1,COUNTY OF FRANKLIN <THE>,NA,2.32,11600,11600,NA,Agricultural District,Agricultural
Franklin County,60000900,NA,115,A1,COUNTY OF FRANKLIN <THE>,NA,2.32,11600,11600,NA,Agricultural District,Agricultural
Franklin County,60001300,NA,54,A1,COUNTY OF FRANKLIN <THE>,NA,2.5,12500,12500,NA,Agricultural District,Agricultural
Franklin County,60001300,NA,114,A1,COUNTY OF FRANKLIN <THE>,NA,2.5,12500,12500,NA,Agricultural District,Agricultural
Franklin County,2030008900,NA,48,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.306,79300,79300,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,2030008900,NA,98,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.306,79300,79300,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,830008002,NA,36,NZ,COUNTY OF FRANKLIN,NA,3.432,6900,6900,NA,Not Zoned,Unzoned
Franklin County,830008002,NA,78,NZ,COUNTY OF FRANKLIN,NA,3.432,6900,6900,NA,Not Zoned,Unzoned
Franklin County,2020119800,NA,65,POS,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.764,150600,150600,NA,Parks/Open Space,Parks/Open Space
Franklin County,2020119800,NA,143,POS,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,3.764,150600,150600,NA,Parks/Open Space,Parks/Open Space
Franklin County,440000500,NA,64,REP,COUNTY OF FRANKLIN,NA,10.1,202000,202000,NA,Regional Enterprise Park District,Industrial
Franklin County,440000500,NA,139,REP,COUNTY OF FRANKLIN,NA,10.1,202000,202000,NA,Regional Enterprise Park District,Industrial
Franklin County,3010008000,NA,9,NZ,TOWN OF BOONES MILL ECONOMIC DEVELOPMENT CORPORATION,NA,10.22,10200,10200,NA,Not Zoned,Unzoned
Franklin County,300006905,NA,47,A1,COUNTY OF FRANKLIN,NA,10.47,86800,86800,NA,Agricultural District,Agricultural
Franklin County,300006905,NA,97,A1,COUNTY OF FRANKLIN,NA,10.47,86800,86800,NA,Agricultural District,Agricultural
Franklin County,710002000,NA,61,A1,COUNTY OF FRANKLIN,NA,11.19,22400,22400,NA,Agricultural District,Agricultural
Franklin County,710002000,NA,129,A1,COUNTY OF FRANKLIN,NA,11.19,22400,22400,NA,Agricultural District,Agricultural
Franklin County,2030008800,NA,50,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,13.159,296100,296100,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,2030008800,NA,100,M2,COUNTY OF FRANKLIN & TOWN OF ROCKY MOUNT,NA,13.159,296100,296100,NA,"Industrial District, Heavy Industry",Industrial
Franklin County,2040012900,NA,2,C1,TOWN OF ROCKY MOUNT,NA,18.4729999999999,138500,138500,NA,Residential Combined Subdivision District,Residential
Franklin County,0150004201B,NA,24,PCD,FRANKLIN COUNTY,NA,19.003,266000,266000,NA,Planned Commercial Development,Commercial
Franklin County,630020401,NA,29,A1,TOWN OF ROCKY MOUNT,NA,19.193,57600,57600,NA,Agricultural District,Agricultural
Franklin County,0370005401C,NA,68,REP,COUNTY OF FRANKLIN,NA,30,750000,750000,NA,Regional Enterprise Park District,Industrial
Franklin County,0370005401C,NA,152,REP,COUNTY OF FRANKLIN,NA,30,750000,750000,NA,Regional Enterprise Park District,Industrial
Franklin County,730002100,NA,46,NZ,COUNTY OF FRANKLIN,NA,40,154500,154500,NA,Not Zoned,Unzoned
Franklin County,730002100,NA,96,NZ,COUNTY OF FRANKLIN,NA,40,154500,154500,NA,Not Zoned,Unzoned
Franklin County,800006500,NA,69,NZ,COUNTY OF FRANKLIN,NA,82.665,222200,222200,NA,Not Zoned,Unzoned
Franklin County,800006500,NA,155,NZ,COUNTY OF FRANKLIN,NA,82.665,222200,222200,NA,Not Zoned,Unzoned
Franklin County,730009900,NA,67,NZ,COUNTY OF FRANKLIN,NA,133.75,283500,283500,NA,Not Zoned,Unzoned
Franklin County,730009900,NA,151,NZ,COUNTY OF FRANKLIN,NA,133.75,283500,283500,NA,Not Zoned,Unzoned
